algorithm,success_rate,avg_reward,reward_std,avg_steps,avg_battery_left,avg_hazard_violations,avg_path_efficiency
DQN,0.0,-110.26666666666667,35.15269864778836,32.2,38.45,5.033333333333333,1.0204954147338867
REINFORCE,0.0,-119.5,32.44944786381837,23.0,0.0,3.7,1.529096245765686
PPO,0.0,-112.61666666666666,48.865407555402165,22.966666666666665,0.0,5.866666666666666,1.1427979469299316
A2C,0.0,-117.78333333333333,44.12532971233441,22.5,15.969638974080963,3.3333333333333335,1.1950613260269165
